scenario,rep,method,SHD,F1,Precision,Recall,n_oriented,Dir_Prec,Dir_Rec,Dir_F1,Comm,Runtime
p20_phi0.2,18,local,19.6,0.6644888763285948,0.7653655391496079,0.5878787877006427,0,0.0,0.0,0.4438543055416913,8000,3.6373987197875977
p20_phi0.2,19,local,11.6,0.791734887514516,0.8287472524344304,0.758620689393579,0,0.0,0.0,0.47045381374788586,8000,4.437976837158203
p20_hetero_None,0,local,33.6,0.5713191399551434,0.6707212883143834,0.49777777766716047,0,0.0,0.0,0.22878997079620428,8000,8.324725866317749
p20_hetero_None,1,local,20.2,0.7350908997912204,0.7542268090230395,0.7179487177646285,0,0.0,0.0,0.41425734229344047,8000,5.800735712051392
p20_hetero_None,2,local,19.2,0.708926362582137,0.7813026817304098,0.6499999998194443,0,0.0,0.0,0.3926433144212438,8000,4.808468818664551
p20_hetero_None,3,local,34.6,0.5662677211726717,0.6153669188570984,0.525581395226609,0,0.0,0.0,0.2597640808790963,8000,8.522536277770996
p20_hetero_None,4,local,21.4,0.7098689546795691,0.7125096523154193,0.7081081079167275,0,0.0,0.0,0.38137349466293063,8000,4.045641183853149
p20_hetero_None,5,local,30.2,0.61784480832432,0.6978643576645489,0.5545454544194215,0,0.0,0.0,0.1852690299647241,8000,6.0501179695129395
p20_hetero_None,6,local,22.8,0.6896819044177427,0.7788636361242023,0.6195121949708506,0,0.0,0.0,0.3808361939874583,8000,4.091010332107544
p20_hetero_None,7,local,18.4,0.7012901494818703,0.7299814606355877,0.6749999997890624,0,0.0,0.0,0.424217095198665,8000,4.614837884902954
p20_hetero_None,8,local,24.2,0.6491172936052161,0.7735912695731566,0.5599999998599999,0,0.0,0.0,0.25038586410330915,8000,6.7267701625823975
p20_hetero_None,9,local,32.4,0.5448513348020441,0.770904000683724,0.42173913034310023,0,0.0,0.0,0.22915126475015574,8000,11.333687782287598
p20_hetero_None,10,local,34.8,0.5953335952756975,0.6927401836049423,0.5224489794852145,0,0.0,0.0,0.1352052517801755,8000,7.9990620613098145
p20_hetero_None,11,local,27.2,0.6283310656982188,0.7142839684975054,0.5609756096192743,0,0.0,0.0,0.3499504250992551,8000,6.293286561965942
p20_hetero_None,12,local,33.6,0.5622130881095309,0.6583328094624974,0.4909090907975206,0,0.0,0.0,0.21452886492225973,8000,5.744539737701416
p20_hetero_None,13,local,23.2,0.7053635342583501,0.7553360877622308,0.6619047617471656,0,0.0,0.0,0.3050626699371222,8000,5.210755825042725
p20_hetero_None,14,local,12.0,0.8034862758075205,0.8437087909179558,0.7687499997597655,0,0.0,0.0,0.5125958744014385,8000,4.932018518447876
p20_hetero_None,15,local,27.0,0.643571454251417,0.7217882605450813,0.580952380814059,0,0.0,0.0,0.3812201555256007,8000,6.433605432510376
p20_hetero_None,16,local,24.8,0.6202510125066591,0.6943266766680352,0.5611111109552469,0,0.0,0.0,0.372700048858646,8000,3.6449201107025146
p20_hetero_None,17,local,28.6,0.6125759132239175,0.6318699369871992,0.5947368419487534,0,0.0,0.0,0.23307912238249742,8000,6.259220123291016
p20_hetero_None,18,local,20.2,0.6673076080973965,0.7021846493675012,0.6374999998007812,0,0.0,0.0,0.44841399672856513,8000,2.8486788272857666
p20_hetero_None,19,local,12.2,0.8024576890842028,0.8056736438541415,0.7999999997419355,0,0.0,0.0,0.522961240567773,8000,2.9194118976593018
p20_hetero_mild,0,local,10.8,0.8236735360685407,0.834994437987894,0.8129032255442248,0,0.0,0.0,0.5155757502570442,8000,4.685086011886597
p20_hetero_mild,1,local,28.4,0.5987121915437277,0.7919439178541132,0.48181818170867763,0,0.0,0.0,0.2465304905015655,8000,6.426828622817993
p20_hetero_mild,2,local,17.0,0.7231761734388453,0.7568831166240056,0.6937499997832031,0,0.0,0.0,0.4218802835963717,8000,4.685007810592651
p20_hetero_mild,3,local,16.8,0.7268917880642924,0.8415140411976243,0.6399999998171427,0,0.0,0.0,0.38009894457593896,8000,5.0080060958862305
p20_hetero_mild,4,local,32.8,0.5615188605324228,0.6037518035780861,0.52499999986875,0,0.0,0.0,0.30305976568440984,8000,8.59169054031372
